ubicacion,actualizado_dt,avance_actas_pct,actas_contabilizadas,actas_pendientes,actas_jee,total_actas,votantes_ausentes_est,votantes_emitidos_pendientes_est,votantes_emitidos_jee_est,votantes_validos_pendientes_est,votantes_validos_jee_est,candidato_o_tipo,agrupacion,porcentaje_valido_base,porcentaje_valido_usado_prior,votos_proyectados_faltantes,votos_proyectados_pendientes,votos_proyectados_jee,observacion
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.111,0.088,1.0,0.0,1.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.083,0.127,1.0,0.0,1.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0.083,0.165,1.0,0.0,1.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.083,0.07,0.0,0.0,0.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.083,0.136,1.0,0.0,1.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0.056,0.044,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,21.441,21.215,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,18.717,18.723,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,15.466,15.316,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,10.193,10.138,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,9.139,8.981,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,3.954,3.767,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,3.046,3.128,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,2.46,2.259,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",2.08,1.943,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,1.933,1.839,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,1.465,1.582,0.0,0.0,0.0,Data real
